Bandits 1|X:193.84-Y:373.29-Z:218.2
Ruin Guard 06|X:485.7-Y:254.67-Z:235.53
Ruin Guard 07|X:100.24-Y:-66.4-Z:269.01
Ruin Guard 08|X:-733.85-Y:-349.27-Z:206.4
Ruin Guard 09|X:1093.47-Y:-285.15-Z:207.44
Ruin Guard 10|X:1156.53-Y:-345.77-Z:223.97
Ruin Guard 11|X:1193.74-Y:-251.28-Z:225.48
Ruin Guard 12|X:1160.59-Y:488.48-Z:240.73
Ruin Guard 13|X:952.88-Y:762.69-Z:255.47
Ruin Hunter 1|X:-172.8-Y:340.21-Z:200.83
Ruin Hunter 2|X:979.42-Y:-633.69-Z:222.99
Ruin Hunter 3|X:1191.33-Y:-299.16-Z:231.06
Ruin Hunter 4|X:1084.26-Y:349.25-Z:257.16
