001 Crystal White|X:-1627.32-Y:2909.66-Z:255.78
056 White|X:-44.45-Y:881.22-Z:213.82
057 White|X:-220.84-Y:712.79-Z:217.63
058 Jade|X:-249.34-Y:682.55-Z:217.84
059 Electro|X:-310.22-Y:611.39-Z:297.77
060 Jade|X:-392.97-Y:683.4-Z:250.41
061 Electro|X:-88.46-Y:542.58-Z:201.28
062 White|X:-11.42-Y:416.58-Z:201.42
063 Lapis|X:-80.99-Y:380.52-Z:204.09
064 Electro|X:-420.72-Y:414.53-Z:202.09
065 Electro|X:1367-Y:1419.17-Z:231.33
066 Crystal|X:1373.52-Y:1366.64-Z:229.6
067 Lapis|X:1442.69-Y:1212.33-Z:274.02
068 Lapis|X:1373.07-Y:1219.45-Z:266.49
069 Lapis|X:1334.25-Y:1150.46-Z:268.21
070 Lapis Crystal|X:1550.52-Y:1337.45-Z:272.61
071 White|X:1495.08-Y:1107.9-Z:353.63
072 White|X:1534.76-Y:1064.39-Z:346.14
073 White|X:1569.63-Y:1025.35-Z:338.37
074 White|X:1596.6-Y:1021.65-Z:328.51
075 White|X:1614.12-Y:1021.46-Z:308.18
076 White|X:1553.47-Y:1065.24-Z:354.77
077 White|X:1631.5-Y:1102.19-Z:359.69
078 White|X:1563.57-Y:1212.98-Z:355.25
079 White|X:1622.02-Y:1199.46-Z:342.04
080 White|X:1628.57-Y:1065.33-Z:391.88
081 White|X:1651.97-Y:1103.79-Z:372.77
082 Crystal|X:1445.75-Y:819.39-Z:426.16
083 Crystal|X:1444.74-Y:857.9-Z:402.25
084 Crystal|X:1452.26-Y:844.5-Z:391.08
085 Crystal|X:1417.98-Y:969.2-Z:334.88
086 Crystal|X:1462.88-Y:982.34-Z:338.22
088 Crystal|X:1502.61-Y:972.75-Z:328.92
089 Crystal|X:1500.53-Y:912.11-Z:328.52
090 Lapis|X:1522.59-Y:989.53-Z:271.15
091 Crystal|X:1364.63-Y:925.29-Z:386.28
092 Crystal|X:1384.32-Y:938.75-Z:367.06
093 Crystal|X:1548.46-Y:848.85-Z:314.2
094 Electro|X:1454.13-Y:760.9-Z:324.93
095 Crystal|X:1488.22-Y:772.91-Z:324.34
096 Crystal|X:1485.75-Y:688.06-Z:302.52
097 Crystal|X:1439.41-Y:668.86-Z:297.27
098 Lapis|X:1477.73-Y:626.59-Z:263.67
099 Crystal|X:1373.63-Y:658.78-Z:267.64
100 Crystal|X:1283.02-Y:617.78-Z:204.59
101 Crystal|X:1276.78-Y:759.47-Z:230.82
102 Crystal|X:1270.5-Y:836.48-Z:256.56
103 Crystal|X:1332.21-Y:820.63-Z:269.99
104 Crystal|X:1237.63-Y:885.17-Z:235.82
105 Crystal|X:1358.63-Y:1017.82-Z:272.94
106 Crystal|X:1139.5-Y:845.42-Z:331.08
107 Electro|X:1114.83-Y:850.05-Z:295.26
108 Crystal|X:1064.39-Y:917.52-Z:319.08
109 Crystal|X:1037.94-Y:1008.73-Z:284.17
110 Crystal|X:1002.9-Y:955.31-Z:255.46
111 Crystal|X:1177.13-Y:1009.59-Z:340.42
112 Crystal|X:1275.81-Y:1055.92-Z:340.01
113 Lapis|X:1064.2-Y:1279.58-Z:219.02
114 Crystal|X:1142.2-Y:1315.68-Z:231.89
115 Crystal|X:1043.62-Y:1202.65-Z:248.09
116 Lapis|X:1018.18-Y:1168.48-Z:231.19
117 Lapis|X:954.23-Y:1189.3-Z:212.71
118 White|X:956.37-Y:1227.66-Z:202.97
119 Crystal|X:898.36-Y:1127.08-Z:210.71
120 White|X:899.94-Y:1110.29-Z:213.24
121 Crystal Jade|X:697.34-Y:981.56-Z:212.23
122 White|X:1020.03-Y:509.58-Z:195.79
123 Lapis|X:1107.31-Y:520.56-Z:173.19
124 Crystal|X:1169.91-Y:583.65-Z:183.56
125 Crystal|X:1184.79-Y:652.11-Z:167.38
126 White|X:936.03-Y:621.44-Z:212.71
127 Lapis|X:952.83-Y:649.28-Z:218.63
127 White|X:1074.39-Y:677.35-Z:188.5
128 Lapis|X:980.53-Y:634.83-Z:225.35
128 White|X:1107.13-Y:713.14-Z:168.94
129 Lapis|X:868.11-Y:657.67-Z:219.03
130 White|X:853.05-Y:679.43-Z:218.52
131 White|X:853.24-Y:752.85-Z:221.75
132 Jade|X:838.38-Y:738.45-Z:222.9
133 Lapis|X:792.21-Y:784.77-Z:226.88
134 Lapis|X:875.95-Y:784.91-Z:238.4
135 Lapis|X:901.47-Y:791.1-Z:240.95
136 White|X:910.33-Y:807.51-Z:245.48
137 Lapis|X:855-Y:845.56-Z:270.35
138 Lapis|X:780.72-Y:881.95-Z:247.1
139 Lapis|X:677.26-Y:786.75-Z:235.41
140 Electro|X:711.74-Y:720.2-Z:224.29
141 Lapis|X:768.35-Y:621.41-Z:228.79
142 Lapis|X:1077.37-Y:473.08-Z:220.52
143 Electro|X:1055.03-Y:446.27-Z:217.12
144 Lapis|X:1078.44-Y:403.47-Z:235.01
145 Lapis|X:1074.31-Y:357.6-Z:232.23
146 Lapis|X:1099.72-Y:309.84-Z:247.95
147 Lapis|X:1142.07-Y:312.84-Z:257.3
148 Lapis|X:1174.87-Y:313.62-Z:262.21
149 Lapis|X:1231.36-Y:301.35-Z:258.78
150 Lapis|X:1277.88-Y:327.86-Z:260.52
151 Lapis|X:1340.32-Y:399.01-Z:274.27
152 Lapis|X:1195.44-Y:417.3-Z:276.84
153 Electro|X:1209.61-Y:497.14-Z:248.65
154 Electro|X:1125.28-Y:480.67-Z:234.98
155 White|X:1169.25-Y:153.23-Z:204.98
156 Lapis|X:1109.73-Y:231.06-Z:224.57
157 Crystal|X:1102.08-Y:251.15-Z:230.23
158 Lapis|X:893.12-Y:242.02-Z:213.5
159 Electro|X:933.53-Y:239.08-Z:209.76
160 Crystal|X:874.22-Y:331.93-Z:201.81
161 Electro|X:812.81-Y:350.34-Z:197.29
162 White|X:780.8-Y:365.86-Z:231.07
163 Crystal|X:740.48-Y:389.5-Z:219.75
164 Electro|X:724.5-Y:360.46-Z:257.15
165 Electro|X:832.24-Y:217.14-Z:221.99
166 Lapis|X:800.52-Y:221.94-Z:204.83
167 Electro|X:621.66-Y:103.53-Z:202.93
168 Lapis|X:730.02-Y:144.69-Z:202.17
169 Electro|X:165.23-Y:197.29-Z:229.7
170 White|X:-180.09-Y:-102.79-Z:201.49
171 Crystal|X:-688.92-Y:-74.21-Z:205.54
172 Lapis|X:-932.43-Y:-173.27-Z:200.75
173 Crystal|X:-845.7-Y:-268.68-Z:202.64
174 Crystal|X:-780.87-Y:-335.22-Z:201.94
175 Electro|X:-594.16-Y:-306.2-Z:201.38
176 Crystal|X:-817.48-Y:-425.39-Z:202.56
177 Electro|X:-1007.95-Y:-242.1-Z:201.83
178 Lapis|X:-938.49-Y:-279.37-Z:250.26
179 Lapis|X:1796.33-Y:750.4-Z:319.8
180 Lapis|X:1819.03-Y:800.38-Z:328.08
181 Lapis|X:1872.85-Y:755.62-Z:371.39
182 Lapis|X:1897.58-Y:719.82-Z:391.33
183 Lapis|X:1822.87-Y:719.45-Z:414.45
184 Electro|X:1890.36-Y:694.55-Z:411.53
185 Lapis|X:1863.05-Y:704.04-Z:410.27
186 White|X:1676.54-Y:527.13-Z:233.14
187 White|X:-392.72-Y:2644.94-Z:263.81
188 White Electro|X:-298.02-Y:2711.32-Z:250.83
189 White Electro|X:-371.13-Y:2753.07-Z:253.57
190 White|X:-438.86-Y:2657.62-Z:248.39
191 Electro|X:328.8-Y:2503.96-Z:198.8
192 Electro|X:498.16-Y:2602.37-Z:216.14
193 Crystal|X:367.18-Y:2565.69-Z:202.31
194 Crystal Electro|X:347.04-Y:2521.33-Z:186.44
195 White|X:-2621.77-Y:1638.2-Z:198.58
196 Lapis|X:-500.14-Y:515.15-Z:201.32
197 Crystal|X:422.81-Y:2545.1-Z:181.29
198 Lapis|X:1198.56-Y:-892.49-Z:157.84
199 Electro|X:1241.48-Y:-843.59-Z:156.55
200 Lapis|X:1063.54-Y:-943.55-Z:219
201 Lapis|X:975.1-Y:-971.62-Z:223.11
202 Lapis|X:989.71-Y:-795.91-Z:224.51
203 Lapis|X:850.15-Y:-876.41-Z:179.07
204 Crystal|X:782.5-Y:-786.86-Z:171.46
205 Crystal|X:647.47-Y:-897.82-Z:231.45
206 Lapis|X:644-Y:-908.03-Z:242.76
207 White|X:650.38-Y:-698.82-Z:218.62
208 Lapis|X:754.23-Y:-702.66-Z:215.22
209 Lapis|X:795.17-Y:-610.37-Z:301.57
210 Lapis|X:868-Y:-643.69-Z:150.85
211 Crystal White|X:897.87-Y:-644.68-Z:148.04
212 Crystal White|X:874.05-Y:-667-Z:147.72
213 White|X:996.9-Y:-702.35-Z:207.83
214 White|X:1006.5-Y:-697.32-Z:189.71
215 Crystal|X:1091.56-Y:-656.66-Z:166.77
216 Lapis|X:1066.12-Y:-544.64-Z:168.07
217 Lapis|X:965.14-Y:-595.41-Z:231.26
218 Crystal Lapis|X:1119.6-Y:-340.5-Z:218.74
219 Lapis|X:986.33-Y:-449.95-Z:239.73
220 White|X:943.44-Y:-450.85-Z:189.19
221 White|X:887.93-Y:-478.74-Z:182.9
222 White|X:908.43-Y:-514.11-Z:180.08
223 Lapis|X:827.72-Y:-500.71-Z:225.42
224 Crystal|X:569.21-Y:-593.79-Z:348.16
225 Crystal|X:577.64-Y:-550.2-Z:344.4
226 Crystal|X:383.67-Y:2619.14-Z:187.31
227 Electro|X:260.04-Y:2491.06-Z:209.54
