Common 0001|X:-872.61-Y:2319.98-Z:242.24
Common 0063p|X:-1187.63-Y:2411.8-Z:209.47
Common 0064|X:-1194.29-Y:2385.55-Z:213.34
Common 0065|X:-1220.11-Y:2316.38-Z:231.98
Common 0066|X:-1279.16-Y:2393.93-Z:251.43
Common 0067|X:-1396.33-Y:2451.42-Z:220.76
Common 0068|X:-1412.57-Y:2471.56-Z:245.77
Common 0069p|X:-1107.33-Y:2426.7-Z:211.6
Common 0070|X:-1098.58-Y:2315.48-Z:218.22
Common 0071|X:-1122.28-Y:2322.98-Z:212.5
Common 0072|X:-1099.18-Y:2264.66-Z:205.27
Common 0073|X:-1049.3-Y:2194.56-Z:210.27
Common 0074|X:-1549.99-Y:2541.55-Z:250.91
Common 0075|X:-1806.94-Y:2490.89-Z:301.37
Common 0076|X:-1795.94-Y:2380.26-Z:284.65
Common 0077|X:-1666.46-Y:2370.84-Z:298.86
Common 0078|X:-1743.07-Y:2291.96-Z:285.8
Common 0079|X:-1719.97-Y:2158.78-Z:257.25
Common 0080|X:-1739.78-Y:2146.58-Z:206.13
Common 0081|X:-1579.09-Y:2147.94-Z:235.82
Common 0082|X:-1533.91-Y:2165.73-Z:240.44
Common 0083|X:-1467.17-Y:2239.17-Z:231.05
Common 0084|X:-1446.32-Y:2238.57-Z:243.59
Common 0085|X:-1444.33-Y:2214.41-Z:221.84
Common 0086|X:-1330.64-Y:2259.7-Z:241.61
Common 0087p|X:-1371.13-Y:2234.06-Z:235.05
Common 0088|X:-1260.82-Y:2134.79-Z:218.04
Common 0089|X:-1222.37-Y:2097.52-Z:208.23
Common 0090|X:-1311.64-Y:2097.28-Z:214.29
Common 0091|X:-1416.25-Y:2072.32-Z:226.77
Common 0092|X:-1419.74-Y:2014.39-Z:210.49
Common 0093|X:-1484.46-Y:1998.61-Z:221.05
Common 0094|X:-1492.84-Y:1964.08-Z:223.19
Common 0095|X:-1532.85-Y:1974.63-Z:238.1
Common 0096|X:-1579.04-Y:1969.48-Z:221.82
Common 0097|X:-1164.25-Y:1827.62-Z:199.19
Common 0098|X:-1196.44-Y:1805.77-Z:241.73
Common 0099|X:-1231.53-Y:1727.89-Z:258.69
Common 0100|X:-1274.12-Y:1711.49-Z:263.42
Common 0101|X:-1347.43-Y:1699.21-Z:234.37
Common 0102|X:-1218.83-Y:1657.42-Z:238.89
Common 0103|X:-1205.56-Y:1662.07-Z:249.68
Common 0104|X:-1172.34-Y:1662.46-Z:233.56
Common 0105|X:-1186.7-Y:1678.01-Z:269.41
Common 0106|X:-1247.9-Y:1618.42-Z:284.5
Common 0107|X:-1280.52-Y:1612.17-Z:263.82
Common 0108|X:-1378.5-Y:1843.7-Z:196.21
Common 0109|X:-1522.43-Y:1749.16-Z:196.67
Common 0110|X:-1508.67-Y:1806.2-Z:196.12
Common 0111|X:-1485.69-Y:1691.14-Z:220.24
Common 0112|X:-1681.1-Y:1677.07-Z:196.38
Common 0113|X:-1561.47-Y:1566.04-Z:247.24
Common 0114|X:-1580.48-Y:1491.58-Z:245
Common 0115|X:-1535.24-Y:1458.79-Z:243.47
Common 0116|X:-1446.29-Y:1460.14-Z:258.99
Common 0117|X:-1381.53-Y:1469.35-Z:276.69
Common 0118|X:-1354.5-Y:1482.59-Z:264.71
Common 0119|X:-1500.21-Y:1312.45-Z:272.73
Common 0120|X:-1534.16-Y:1262.35-Z:256.37
Common 0121|X:-1511.35-Y:1293.89-Z:256.54
Common 0122|X:-1677.21-Y:1355.45-Z:257.36
Common 0123|X:-1722.35-Y:1247.44-Z:264.43
Common 0124|X:-1649.6-Y:1253.01-Z:263.11
Common 0125|X:-1861.27-Y:1323.81-Z:305.01
Common 0126|X:-1986.84-Y:1486.5-Z:332.03
Common 0127|X:-1887.19-Y:1408.85-Z:306.09
Common 0128|X:-1844.58-Y:1410.07-Z:301.9
Common 0129|X:-1863.74-Y:1443.1-Z:284.71
Common 0130|X:-1774.96-Y:1493.04-Z:270.4
Common 0131|X:-1695.09-Y:1430.46-Z:261.81
Common 0132|X:-1609.41-Y:1460.16-Z:243.18
Common 0133|X:-1629.14-Y:1460.15-Z:269.37
Common 0134|X:-628.14-Y:1746.03-Z:239.34
Common 0135|X:-604.6-Y:1784.08-Z:247.55
Common 0136|X:-516.56-Y:1791.44-Z:256.09
Common 0137|X:-369.59-Y:1969.56-Z:241.41
Common 0138|X:-642-Y:1954.57-Z:218.29
Common 0139|X:-909-Y:1932.86-Z:227.31
Common 0140|X:-912.04-Y:1941.99-Z:247.49
Common 0141|X:-867.9-Y:1885.3-Z:244.64
Common 0142|X:-825.43-Y:1740.26-Z:257.92
Common 0143|X:-526.71-Y:2110.84-Z:229.82
Common 0144|X:-470.38-Y:2159.51-Z:221.92
Common 0145|X:-512.82-Y:2131.7-Z:229.58
Common 0146|X:-429.17-Y:2136.03-Z:243.2
Common 0147|X:-476.46-Y:2232.34-Z:204.15
Common 0148|X:-463.84-Y:2342.56-Z:254.44
Common 0149|X:-392.27-Y:2363.55-Z:275.26
Common 0150|X:-386.42-Y:2350.58-Z:281.68
Common 0151|X:-292.54-Y:2265.79-Z:280.68
Common 0152|X:-202.28-Y:2318.17-Z:308.97
Common 0153|X:-195.41-Y:2374.82-Z:291.69
Common 0154|X:-192.14-Y:2392.95-Z:308.25
Common 0155p|X:-419.23-Y:2477.61-Z:212.62
Common 0156|X:-562.17-Y:2492.95-Z:206.01
Common 0157|X:-416.38-Y:2633.87-Z:275.98
Common 0158|X:-508.5-Y:2666.87-Z:217.58
Common 0159|X:-78.1-Y:2336.73-Z:233.75
Common 0160|X:28.81-Y:2144.9-Z:227.38
Common 0161|X:-67.26-Y:2112.23-Z:210.57
Common 0162|X:-43.42-Y:2055.81-Z:220.53
Common 0163|X:-167.76-Y:1901.87-Z:207.76
Common 0164|X:-274.92-Y:1808.48-Z:205.87
Common 0165|X:-359.07-Y:1758.74-Z:217.35
Common 0166|X:-395.62-Y:1738.41-Z:220.75
Common 0167|X:-416.62-Y:1767.34-Z:225.6
Common 0168|X:-386.05-Y:1683.96-Z:215.14
Common 0169|X:-466.08-Y:1550.67-Z:205
Common 0170|X:-524.39-Y:1675.41-Z:222.4
Common 0171|X:96.42-Y:2691.77-Z:240.19
Common 0172|X:93.59-Y:2627.53-Z:252.93
Common 0173|X:174-Y:2702.17-Z:234.95
Common 0174|X:185.73-Y:2725.53-Z:249.21
Common 0175|X:181.43-Y:2738.29-Z:249.12
Common 0176|X:226.63-Y:2607.94-Z:215.46
Common 0177|X:151.9-Y:2556.19-Z:215.74
Common 0178|X:15.18-Y:2570.41-Z:228.26
Common 0179|X:27.28-Y:2698.12-Z:241.5
Common 0180|X:119.13-Y:2746.55-Z:259.71
Common 0181p|X:157.95-Y:2797.45-Z:209.97
Common 0183|X:107.58-Y:2957.15-Z:208.31
Common 0184|X:27.18-Y:2914.03-Z:208.89
Common 0185|X:-180-Y:2793.29-Z:249.44
Common 0186|X:-83.91-Y:2644.22-Z:223.47
Common 0187|X:-58.3-Y:2647.6-Z:218.26
Common 0188|X:-60.21-Y:2608.43-Z:207.93
Common 0189|X:-1.24-Y:2592.22-Z:208.17
Common 0190|X:-21.74-Y:2518.28-Z:209.84
Common 0191|X:53.38-Y:2380.04-Z:228.53
Common 0192|X:48.74-Y:2413.55-Z:219.23
Common 0193|X:-4.33-Y:2418.59-Z:229.2
Common 0194|X:63.12-Y:2397.25-Z:212.52
Common 0195|X:68.04-Y:2467.92-Z:211.28
Common 0196|X:131.64-Y:2482.13-Z:207.11
Common 0197|X:135.78-Y:2456.05-Z:210.08
Common 0198|X:147.12-Y:2446.26-Z:226.99
Common 0199|X:273.61-Y:2524.93-Z:209.71
Common 0200|X:263.56-Y:2456.72-Z:243.73
Common 0201|X:361.14-Y:2456.25-Z:264.09
Common 0202|X:390.09-Y:2394.48-Z:223.78
Common 0203|X:466.82-Y:2475.22-Z:246.82
Common 0204p|X:367.25-Y:2565.76-Z:202.35
Common 0205|X:379.34-Y:2672.34-Z:213.26
Common 0206|X:404.43-Y:2522.11-Z:210.36
Common 0207|X:400.93-Y:2581.6-Z:199.67
Common 0208|X:462.47-Y:2631.51-Z:212.45
Common 0209|X:445.2-Y:2645.06-Z:216.99
Common 0210|X:428.82-Y:2653.07-Z:221.45
Common 0211|X:352.55-Y:2755.5-Z:211.28
Common 0212|X:23.28-Y:1688.01-Z:225.12
Common 0213|X:49.27-Y:1813.86-Z:221.21
Common 0214|X:16.46-Y:1766.42-Z:205.5
Common 0215|X:-48.68-Y:1752.61-Z:230.28
Common 0216|X:159.71-Y:1764.89-Z:258.29
Common 0217|X:82.03-Y:1688.59-Z:205.63
Common 0218|X:85.12-Y:1690.13-Z:201.73
Common 0219|X:140.32-Y:1652.15-Z:201.2
Common 0220|X:146.33-Y:1616.87-Z:230.9
Common 0221|X:185.32-Y:1587.21-Z:301.65
Common 0222|X:170.45-Y:1515.69-Z:213.13
Common 0223|X:172.48-Y:1605.8-Z:251.97
Common 0224|X:133.79-Y:1605.12-Z:233.72
Common 0225|X:150.84-Y:1529.48-Z:259.7
Common 0226|X:134.71-Y:1547.27-Z:259.57
Common 0227|X:16.64-Y:1567.75-Z:228.3
Common 0228|X:40.24-Y:1551.65-Z:223
Common 0229|X:108.34-Y:1491.33-Z:237.3
Common 0230|X:124.11-Y:1420.41-Z:209.45
Common 0231|X:-117.67-Y:1519-Z:263.76
Common 0232|X:-175.93-Y:1587.83-Z:235.65
Common 0233|X:-217.1-Y:1217.24-Z:201.14
Common 0234|X:-71.34-Y:1236.08-Z:205.03
Common 0235p|X:-83.07-Y:1320.61-Z:201.23
Common 0236|X:-31.56-Y:1239.69-Z:200.96
Common 0237|X:-18.74-Y:1250.68-Z:200.57
Common 0238|X:51.28-Y:1240.44-Z:201.33
Common 0239|X:-234.94-Y:1088.88-Z:251.76
Common 0240|X:-284.98-Y:850.64-Z:254.32
Common 0241|X:-571.58-Y:612.73-Z:201.75
Common 0242|X:-577.59-Y:623.7-Z:202.05
Common 0243|X:-339.68-Y:621.79-Z:294.49
Common 0244|X:-271.25-Y:608.71-Z:303.07
Common 0245|X:-232.3-Y:611.02-Z:317.85
Common 0246|X:-242.06-Y:634.5-Z:309.88
Common 0247|X:-208.17-Y:685.78-Z:239.06
Common 0248|X:-180.12-Y:641.62-Z:274.67
Common 0249|X:-111.03-Y:553.23-Z:207.01
Common 0250|X:300.55-Y:1419.46-Z:201.55
Common 0251|X:271.36-Y:1491.84-Z:201.46
Common 0252|X:329.2-Y:1446.64-Z:202.54
Common 0253|X:240.79-Y:1137.16-Z:200.99
Common 0254|X:226.28-Y:1179.7-Z:201.19
Common 0255|X:310.18-Y:964.85-Z:201.24
Common 0256|X:412.33-Y:1043.19-Z:206.15
Common 0257|X:399.16-Y:1233.44-Z:201.24
Common 0258|X:402.83-Y:1358.53-Z:201.54
Common 0259|X:431.99-Y:1396.66-Z:207.94
Common 0260|X:367.33-Y:1406.16-Z:200.97
Common 0261|X:513.9-Y:1325.56-Z:202.36
Common 0262|X:618.11-Y:1381.02-Z:207.42
Common 0263|X:646-Y:1368-Z:206.17
Common 0264|X:585.86-Y:1413.74-Z:225.39
Common 0265|X:587.58-Y:1432.59-Z:246.14
Common 0266|X:612.18-Y:1466.12-Z:226.11
Common 0267|X:720.18-Y:1431.01-Z:201.16
Common 0268|X:758.08-Y:1408.44-Z:201.9
Common 0269|X:761.65-Y:1467.67-Z:200.96
Common 0270|X:535.11-Y:1484.7-Z:232.76
Common 0271|X:530.68-Y:1499.33-Z:219.58
Common 0272|X:437.6-Y:1521-Z:250.79
Common 0273|X:390.17-Y:1523.96-Z:256.24
Common 0274|X:426.17-Y:1627.8-Z:318.04
Common 0275|X:341.83-Y:1561.71-Z:259.98
Common 0276|X:293.81-Y:1607.52-Z:254.2
Common 0277|X:268.52-Y:1640.72-Z:256.48
Common 0278|X:273.41-Y:1684.53-Z:220.89
Common 0279|X:316.38-Y:1683.44-Z:282.32
Common 0280|X:326.53-Y:1695.29-Z:282.8
Common 0281|X:539.12-Y:1793.04-Z:235.57
Common 0282|X:594.38-Y:1698.59-Z:248.94
Common 0283|X:576.82-Y:1719.27-Z:248.1
Common 0284|X:689.9-Y:1727.91-Z:238.15
Common 0285|X:849.6-Y:1662.36-Z:208.51
Common 0286|X:828.99-Y:1714.04-Z:211.21
Common 0287|X:854.78-Y:1728.54-Z:211.75
Common 0288|X:874.28-Y:1738.08-Z:222.54
Common 0289|X:812.49-Y:1912.32-Z:271.06
Common 0290|X:382.66-Y:882.77-Z:223.56
Common 0291|X:345.5-Y:883.7-Z:216.74
Common 0292|X:357.5-Y:920.59-Z:202.1
Common 0293|X:311.7-Y:962.25-Z:201.48
Common 0294|X:261.2-Y:930.9-Z:203.07
Common 0295|X:228.54-Y:948.6-Z:199.87
Common 0296|X:172.22-Y:842.87-Z:202.01
Common 0297|X:141.8-Y:776.32-Z:201.52
Common 0298|X:228.92-Y:725.11-Z:204.05
Common 0299|X:312.42-Y:744.61-Z:202.72
Common 0300|X:316.95-Y:710.81-Z:205.18
Common 0301|X:314.83-Y:767.64-Z:201.5
Common 0302|X:429.35-Y:707.14-Z:202.57
Common 0303|X:506.19-Y:631.22-Z:205.16
Common 0304|X:206.24-Y:649.98-Z:203.36
Common 0305|X:134.08-Y:609.51-Z:201.2
Common 0306|X:99.56-Y:658.29-Z:201.91
Common 0307|X:-85.28-Y:258.08-Z:212.89
Common 0309|X:-140.3-Y:196.05-Z:201.16
Common 0310|X:85.8-Y:181.13-Z:240.24
Common 0311|X:328.22-Y:255.66-Z:211.27
Common 0312|X:357.93-Y:331.44-Z:226.49
Common 0313|X:524.33-Y:269.13-Z:205.79
Common 0314|X:504.83-Y:216.47-Z:205.02
Common 0315|X:192.59-Y:141.17-Z:241.08
Common 0316|X:151.7-Y:92.59-Z:255.75
Common 0317|X:67.62-Y:124.97-Z:294.42
Common 0318|X:38.07-Y:115.57-Z:253.99
Common 0319|X:88.15-Y:56.27-Z:262.17
Common 0320|X:200.11-Y:23.09-Z:273.3
Common 0321|X:-76.31-Y:-69.57-Z:200.46
Common 0322|X:-43.71-Y:-240.69-Z:253.93
Common 0323|X:-19.71-Y:-230.54-Z:240.17
Common 0324|X:157.98-Y:-205.89-Z:259.19
Common 0325|X:120.65-Y:-210.96-Z:279.77
Common 0326|X:213.12-Y:-213.92-Z:276.33
Common 0327|X:234.22-Y:-107.18-Z:294.18
Common 0328|X:249.66-Y:-123.67-Z:361.63
Common 0329|X:648.6-Y:-428.42-Z:274.59
Common 0330|X:713.04-Y:-467.4-Z:311.81
Common 0331|X:680.77-Y:-486.34-Z:270.95
Common 0332|X:995.27-Y:-390.87-Z:238.96
Common 0333|X:959.97-Y:-486.04-Z:187.5
Common 0334|X:916.18-Y:-622.09-Z:223.44
Common 0335|X:892.01-Y:-653.3-Z:148.33
Common 0336|X:874.26-Y:-729.62-Z:167.87
Common 0338|X:804.27-Y:-616.17-Z:303.11
Common 0339|X:764.54-Y:-750.29-Z:192.95
Common 0340|X:649.43-Y:-705.77-Z:218.67
Common 0341|X:666.85-Y:-919.64-Z:238.04
Common 0342|X:674.44-Y:-896.23-Z:223.5
Common 0343|X:706.38-Y:-919.65-Z:225.76
Common 0344|X:720.48-Y:-882.99-Z:218.65
Common 0345|X:822.69-Y:-866.04-Z:213.81
Common 0346|X:858.23-Y:-976.73-Z:203.88
Common 0347|X:1084.8-Y:-1043.77-Z:253.59
Common 0348|X:1114.53-Y:-895.68-Z:206.48
Common 0349|X:874.13-Y:-173.94-Z:185.69
Common 0350|X:1314.15-Y:281.15-Z:201.88
Common 0351p|X:1456.16-Y:311.21-Z:189.26
Common 0352|X:1542.79-Y:305.78-Z:194.59
Common 0353|X:1667.7-Y:312.86-Z:231.88
Common 0354|X:1700.33-Y:257.37-Z:241.65
Common 0355|X:1571.12-Y:431.46-Z:303.33
Common 0356|X:1461.05-Y:402.06-Z:329.92
Common 0357|X:1529.48-Y:547.75-Z:250.65
Common 0358|X:1650.76-Y:539.9-Z:243.59
Common 0359|X:1683.94-Y:517.38-Z:235.44
Common 0360|X:1831.61-Y:649.99-Z:415.39
Common 0361|X:1772.68-Y:770.58-Z:316.55
Common 0362|X:1743.15-Y:760.68-Z:307.39
Common 0363|X:1811.99-Y:893.32-Z:234.2
Common 0364|X:1735.31-Y:913.82-Z:253.19
Common 0365|X:1719.97-Y:906.37-Z:306.07
Common 0366|X:1680.08-Y:884.08-Z:306.44
Common 0367|X:1635.57-Y:930.2-Z:248.68
Common 0368|X:1638-Y:989.62-Z:255.07
Common 0369|X:1605.51-Y:1058.86-Z:424.28
Common 0370|X:1659.72-Y:1125.37-Z:366.24
Common 0371|X:1610.57-Y:1224.08-Z:340.93
Common 0372|X:1611.9-Y:1154.58-Z:350.64
Common 0374|X:1568.04-Y:1080.2-Z:352.7
Common 0375|X:1472.98-Y:1038.64-Z:276.94
Common 0376|X:1477.27-Y:972.36-Z:336.04
Common 0377|X:1445.07-Y:990.36-Z:323.66
Common 0378|X:1413.72-Y:1004.89-Z:270.13
Common 0379|X:1260.6-Y:1046.77-Z:311.99
Common 0380|X:1239.29-Y:1035.9-Z:308.26
Common 0381|X:1211.58-Y:1144.25-Z:266.28
Common 0382|X:1226.99-Y:1200.62-Z:256.58
Common 0383|X:1276.16-Y:1172.31-Z:261.79
Common 0384|X:1310.28-Y:1179.67-Z:261.88
Common 0385|X:1380.31-Y:1188.11-Z:265.66
Common 0386p|X:1412.61-Y:1210.58-Z:270.97
Common 0387|X:1372.38-Y:1366.15-Z:229.54
Common 0388|X:1376.78-Y:1617.64-Z:233.86
Common 0389|X:1173.97-Y:1484.79-Z:207.92
Common 0390|X:1226.3-Y:1200.96-Z:256.78
Common 0391|X:1184.1-Y:1249.37-Z:257.72
Common 0392|X:1037.4-Y:1254.57-Z:214.21
Common 0393|X:941.86-Y:1387.65-Z:201.75
Common 0394|X:826.52-Y:1264.78-Z:201
Common 0395|X:945.5-Y:1146.37-Z:211.13
Common 0396|X:927.39-Y:1055.12-Z:211.44
Common 0397|X:855.06-Y:1063.85-Z:216.61
Common 0398|X:896.66-Y:928.07-Z:228.54
Common 0399|X:675.76-Y:957.4-Z:212.4
Common 0400|X:746.86-Y:856.39-Z:229.35
Common 0401|X:671.46-Y:787.26-Z:234.59
Common 0402|X:522.89-Y:772.57-Z:202.02
Common 0403p|X:586.14-Y:827.47-Z:212.1
Common 0404|X:654.2-Y:658.67-Z:211.35
Common 0405|X:799.16-Y:551.61-Z:218.78
Common 0406|X:929.84-Y:655.45-Z:243.06
Common 0407|X:890.42-Y:710.71-Z:216.64
Common 0408|X:885.95-Y:749.79-Z:230.68
Common 0409|X:1134.68-Y:911.8-Z:297.24
Common 0410|X:1051.75-Y:683.98-Z:233.04
Common 0411|X:962.58-Y:569.63-Z:206.15
Common 0412|X:1054.15-Y:458.79-Z:217.12
Common 0413|X:1139.92-Y:585.68-Z:206.74
Common 0414|X:1135.78-Y:623.53-Z:190.37
Common 0415|X:1180.53-Y:601.9-Z:185.49
Common 0416|X:1303.49-Y:683.41-Z:165.18
Common 0417|X:1274.04-Y:697.67-Z:153.38
Common 0418|X:1272.57-Y:647.69-Z:153.42
Common 0419 (Underwater)|X:1253.04-Y:713.54-Z:156.2
Common 0420|X:1351.08-Y:653.74-Z:220.52
Common 0421|X:1419.7-Y:674.06-Z:296.5
Common 0422|X:1633.7-Y:748.98-Z:235.86
Common 0423|X:1570.33-Y:794.44-Z:323.51
Common 0424|X:1468.38-Y:813.13-Z:357.67
Common 0425|X:1443.81-Y:802.01-Z:355.2
Common 0426|X:1424.89-Y:800.72-Z:323.87
Common 0427|X:1407.16-Y:823.51-Z:388.82
Common 0428|X:1293.12-Y:850.61-Z:321.67
Common 0429|X:1299.38-Y:787.04-Z:233.91
Common 0430|X:1374.16-Y:754.87-Z:281.39
Common 0431(Hidden Island)|X:-2366.38-Y:2645.3-Z:204.18
