001 Crystal White|X:-1627.32-Y:2909.66-Z:255.78
089 Crystal|X:1500.53-Y:912.11-Z:328.52
091 Crystal|X:1364.63-Y:925.29-Z:386.28
092 Crystal|X:1384.32-Y:938.75-Z:367.06
093 Crystal|X:1548.46-Y:848.85-Z:314.2
095 Crystal|X:1488.22-Y:772.91-Z:324.34
096 Crystal|X:1485.75-Y:688.06-Z:302.52
097 Crystal|X:1439.41-Y:668.86-Z:297.27
099 Crystal|X:1373.63-Y:658.78-Z:267.64
100 Crystal|X:1283.02-Y:617.78-Z:204.59
101 Crystal|X:1276.78-Y:759.47-Z:230.82
102 Crystal|X:1270.5-Y:836.48-Z:256.56
103 Crystal|X:1332.21-Y:820.63-Z:269.99
104 Crystal|X:1237.63-Y:885.17-Z:235.82
105 Crystal|X:1358.63-Y:1017.82-Z:272.94
106 Crystal|X:1139.5-Y:845.42-Z:331.08
108 Crystal|X:1064.39-Y:917.52-Z:319.08
109 Crystal|X:1037.94-Y:1008.73-Z:284.17
110 Crystal|X:1002.9-Y:955.31-Z:255.46
111 Crystal|X:1177.13-Y:1009.59-Z:340.42
112 Crystal|X:1275.81-Y:1055.92-Z:340.01
114 Crystal|X:1142.2-Y:1315.68-Z:231.89
115 Crystal|X:1043.62-Y:1202.65-Z:248.09
118 White|X:956.37-Y:1227.66-Z:202.97
119 Crystal|X:898.36-Y:1127.08-Z:210.71
120 White|X:899.94-Y:1110.29-Z:213.24
121 Crystal Jade|X:697.34-Y:981.56-Z:212.23
122 White|X:1020.03-Y:509.58-Z:195.79
124 Crystal|X:1169.91-Y:583.65-Z:183.56
125 Crystal|X:1184.79-Y:652.11-Z:167.38
126 White|X:936.03-Y:621.44-Z:212.71
127 White|X:1074.39-Y:677.35-Z:188.5
128 White|X:1107.13-Y:713.14-Z:168.94
130 White|X:853.05-Y:679.43-Z:218.52
131 White|X:853.24-Y:752.85-Z:221.75
136 White|X:910.33-Y:807.51-Z:245.48
155 White|X:1169.25-Y:153.23-Z:204.98
157 Crystal|X:1102.08-Y:251.15-Z:230.23
160 Crystal|X:874.22-Y:331.93-Z:201.81
162 White|X:780.8-Y:365.86-Z:231.07
163 Crystal|X:740.48-Y:389.5-Z:219.75
170 White|X:-180.09-Y:-102.79-Z:201.49
171 Crystal|X:-688.92-Y:-74.21-Z:205.54
173 Crystal|X:-845.7-Y:-268.68-Z:202.64
174 Crystal|X:-780.87-Y:-335.22-Z:201.94
176 Crystal|X:-817.48-Y:-425.39-Z:202.56
186 White|X:1676.54-Y:527.13-Z:233.14
187 White|X:-392.72-Y:2644.94-Z:263.81
188 White Electro|X:-298.02-Y:2711.32-Z:250.83
189 White Electro|X:-371.13-Y:2753.07-Z:253.57
190 White|X:-438.86-Y:2657.62-Z:248.39
193 Crystal|X:367.18-Y:2565.69-Z:202.31
194 Crystal Electro|X:347.04-Y:2521.33-Z:186.44
195 White|X:-2621.77-Y:1638.2-Z:198.58
197 Crystal|X:422.81-Y:2545.1-Z:181.29
204 Crystal|X:782.5-Y:-786.86-Z:171.46
205 Crystal|X:647.47-Y:-897.82-Z:231.45
207 White|X:650.38-Y:-698.82-Z:218.62
211 Crystal White|X:897.87-Y:-644.68-Z:148.04
212 Crystal White|X:874.05-Y:-667-Z:147.72
213 White|X:996.9-Y:-702.35-Z:207.83
214 White|X:1006.5-Y:-697.32-Z:189.71
215 Crystal|X:1091.56-Y:-656.66-Z:166.77
218 Crystal Lapis|X:1119.6-Y:-340.5-Z:218.74
220 White|X:943.44-Y:-450.85-Z:189.19
221 White|X:887.93-Y:-478.74-Z:182.9
222 White|X:908.43-Y:-514.11-Z:180.08
224 Crystal|X:569.21-Y:-593.79-Z:348.16
225 Crystal|X:577.64-Y:-550.2-Z:344.4
226 Crystal|X:383.67-Y:2619.14-Z:187.31
