Bubble Pops 001|X:1742.2-Y:535.46-Z:235.89
Common 0-136|X:627.98-Y:-338.39-Z:276.76
Common 0-138|X:677.1-Y:-358.34-Z:256.73
Common 0-141|X:647.33-Y:-429.11-Z:274.35
Common 0-144|X:593.04-Y:-511.6-Z:355.19
Common 0-146|X:520.54-Y:-278.68-Z:366.54
Common 0-147|X:1189.81-Y:-847.34-Z:158.12
Common 0-154|X:-1806.83-Y:2488.2-Z:301.23
Common 0-155|X:-1742.75-Y:2292.11-Z:285.81
Common 0-156|X:-1738.92-Y:2146.02-Z:206.03
Common 0-157|X:-1608.65-Y:1460.77-Z:243.14
Common 0-158|X:-1510.14-Y:1292.77-Z:256.5
Common 0-159|X:-604.9-Y:1788.2-Z:247.27
Common 0-160|X:-1075.66-Y:2081.72-Z:213.86
Common 0-162|X:-1219.69-Y:2316.32-Z:232.01
Common 0-169|X:-24.83-Y:1602.47-Z:253.41
Common 0-171|X:47.33-Y:1515.92-Z:238.83
Common 0-172|X:133.96-Y:1545.49-Z:259.47
Common 0-173|X:181.34-Y:1587.39-Z:302.07
Common 0-175|X:-86.77-Y:1460.59-Z:210.91
Common 0-179|X:65.82-Y:125.71-Z:294.03
Common 0-180|X:797.54-Y:546.12-Z:218.69
Common 0-183|X:1458.12-Y:681.09-Z:325.08
Common 0-185|X:824.48-Y:1261.01-Z:201.07
Common 0-186|X:1830.76-Y:653.95-Z:415.98
Common 0-194|X:1738.98-Y:694.09-Z:246.81
Common 0-195|X:1772.27-Y:768.92-Z:316.15
Common 0-196|X:856.69-Y:-357.77-Z:205.04
Common 0-202|X:912.55-Y:-623.81-Z:223.16
Common 0-206|X:646.12-Y:-531.82-Z:360.06
Common 0-209|X:546.64-Y:-677.52-Z:283.63
Common 0-210|X:141.3-Y:-729.79-Z:206.27
Common 0-213|X:-120.8-Y:1514.54-Z:263.13
Common 0-216|X:-1433.14-Y:2732-Z:273.04
Exquisite 0-007|X:1362.15-Y:852.87-Z:348.29
Exquisite 0-009|X:1245.23-Y:972.45-Z:308.69
Exquisite 0-012|X:1229.78-Y:1084.65-Z:301.99
Exquisite 0-015|X:1372.8-Y:1121.8-Z:284.84
Exquisite 0-016|X:1361.25-Y:1174.6-Z:267.3
Exquisite 0-019|X:1268.16-Y:927.09-Z:263.2
Exquisite 0-020|X:1315.21-Y:1051.19-Z:309.66
Exquisite 0-021|X:1380.63-Y:1001.45-Z:269.85
Exquisite 0-024|X:1484.95-Y:296.33-Z:187.41
Exquisite 0-025|X:1540.79-Y:955.26-Z:273.49
Exquisite 0-028|X:1616.38-Y:920.61-Z:260.8
Exquisite 0-031|X:1558.04-Y:671.49-Z:253.96
Exquisite 0-034|X:1509.41-Y:518.68-Z:290.33
Exquisite 0-035|X:1636.05-Y:491.25-Z:301.31
Exquisite 0-037|X:1535.63-Y:383.84-Z:293.86
Exquisite 0-038|X:1553.73-Y:352.49-Z:216.85
Exquisite 0-044|X:1707.02-Y:332.47-Z:238.41
Exquisite 0-045|X:1733.12-Y:409.62-Z:233.68
Exquisite 0-047|X:1440.4-Y:449.9-Z:339.3
Exquisite 0-049|X:1182.09-Y:449.73-Z:267.67
Exquisite 0-051|X:1061.04-Y:580.63-Z:269.4
Exquisite 0-052|X:941.97-Y:474.4-Z:224.42
Exquisite 0-053|X:926.31-Y:390.82-Z:204.21
Exquisite 0-056|X:759.73-Y:410.77-Z:238.49
Exquisite 0-057|X:628.39-Y:378.98-Z:208.59
Exquisite 0-058|X:558.49-Y:394.1-Z:203.52
Exquisite 0-059|X:461.6-Y:488.78-Z:216.4
Exquisite 0-063|X:340.01-Y:659.18-Z:202.22
Exquisite 0-064|X:241.41-Y:589.44-Z:199.25
Exquisite 0-067|X:-293.43-Y:1001.88-Z:244.32
Exquisite 0-068|X:-239.14-Y:955.28-Z:246.6
Exquisite 0-069|X:-221.06-Y:791.85-Z:239.93
Exquisite 0-070|X:-222.99-Y:687.32-Z:225.5
Exquisite 0-071|X:-247.65-Y:685.44-Z:217.67
Exquisite 0-072|X:-353.44-Y:674.53-Z:280.25
Exquisite 0-073|X:-455.65-Y:706.28-Z:267.81
Exquisite 0-074|X:-327.01-Y:831.6-Z:260.38
Exquisite 0-075|X:46.27-Y:546.29-Z:200.84
Exquisite 0-076|X:49.34-Y:528.6-Z:201.16
Exquisite 0-077|X:136.82-Y:460.84-Z:209.78
Exquisite 0-080|X:172.62-Y:49.71-Z:264.03
Exquisite 0-083|X:769.84-Y:34.61-Z:225.16
Exquisite 0-089|X:31.96-Y:215.8-Z:209.94
Exquisite 0-091|X:-70.99-Y:402.53-Z:202.11
Exquisite 0-092|X:-40.45-Y:481.16-Z:201.84
Exquisite 0-105|X:-1131.4-Y:1927.39-Z:217.69
Exquisite 0-108|X:1242.12-Y:1471.37-Z:228.31
Exquisite 0-110|X:1142.69-Y:1588.39-Z:202.88
Exquisite 0-111|X:1017.83-Y:1640.88-Z:203.74
Exquisite 0-121|X:-208.55-Y:1235.83-Z:201.34
Exquisite 0-124|X:123.23-Y:1176.62-Z:204.38
Exquisite 0-127|X:-1564.41-Y:2654.06-Z:269.93
Exquisite 0-132|X:1874.05-Y:757.64-Z:371.15
Exquisite 0-139|X:649.73-Y:-426.28-Z:286.8
Exquisite 0-140|X:641.9-Y:-428.96-Z:280.26
Exquisite 0-142|X:580.91-Y:-424.15-Z:337.03
Exquisite 0-143|X:607.51-Y:-553.53-Z:355.64
Exquisite 0-149|X:-906.21-Y:-82.89-Z:202.17
Exquisite 0-151|X:-787.46-Y:-92-Z:201.62
Exquisite 0-152|X:-1569.6-Y:2443.16-Z:290.8
Exquisite 0-153|X:-1653.93-Y:2553.88-Z:323.86
Exquisite 0-163|X:-1274.51-Y:2074.58-Z:211.44
Exquisite 0-165|X:-7.05-Y:1680.33-Z:277.23
Exquisite 0-166|X:-46.6-Y:1734.59-Z:276.95
Exquisite 0-167|X:-66.45-Y:1600.1-Z:249.98
Exquisite 0-170|X:9.46-Y:1587.45-Z:251.08
Exquisite 0-176|X:-225.04-Y:1269.73-Z:201.2
Exquisite 0-177|X:-54.07-Y:848.15-Z:210.96
Exquisite 0-178|X:-620.97-Y:550.64-Z:203.89
Exquisite 0-187|X:1855.24-Y:596.73-Z:362.42
Exquisite 0-188|X:1824.57-Y:764.45-Z:324.99
Exquisite 0-198|X:790.48-Y:-486.42-Z:226.38
Exquisite 0-201|X:890.35-Y:-536.49-Z:194.31
Exquisite 0-204|X:613.87-Y:-800.37-Z:316.94
Exquisite 0-205|X:545.71-Y:-625.29-Z:365.17
Exquisite 0-207|X:553.99-Y:-539.38-Z:334.48
Exquisite 0-208|X:591.79-Y:-643.84-Z:309.38
Exquisite 0-211|X:-249.88-Y:1499.66-Z:248.64
Exquisite 0-212|X:-185.92-Y:1502.22-Z:250.19
Exquisite 0-214|X:-43.6-Y:1542.96-Z:263.15
Exquisite 0-215|X:-1402.94-Y:2709.31-Z:286.24
Precious 0-061|X:477.63-Y:661.85-Z:204.62
Precious 0-088|X:492.97-Y:-117.03-Z:283.24
Precious 0-093|X:932.81-Y:988.97-Z:240.62
Precious 0-097|X:864.45-Y:299.09-Z:196.52
Precious 0-106|X:1250.26-Y:1599.77-Z:226.46
Precious 0-122|X:-145.13-Y:1333.24-Z:201.31
Precious 0-135|X:595.57-Y:-322.61-Z:340.05
Precious 0-148|X:-886.76-Y:-142.26-Z:202.22
Precious 0-174|X:-105.23-Y:1487.19-Z:229.99
Precious 0-181|X:1183.69-Y:495.48-Z:169.78
Precious 0-200|X:929.59-Y:-488.34-Z:182.79
Precious 0-203|X:867.32-Y:-519.97-Z:206.1
Puzzle 0-005|X:1473.06-Y:898.43-Z:363.15
Puzzle 0-014|X:1239.92-Y:1215.34-Z:268.15
Puzzle 0-042|X:1460.21-Y:312.22-Z:189.11
Puzzle 0-055|X:917.36-Y:528.42-Z:242.79
Puzzle 0-081|X:104.54-Y:-113.5-Z:282.3
Puzzle 0-082|X:276.42-Y:31.27-Z:263.94
Puzzle 0-123|X:-83.32-Y:1321.77-Z:201.15
Puzzle 0-126|X:268.72-Y:1184.95-Z:201.61
Puzzle 0-133 (Break)|X:1883.08-Y:661.09-Z:416.04
Puzzle 0-137|X:601.62-Y:-346.11-Z:273.74
Puzzle 0-145|X:595.88-Y:-471.32-Z:419.51
Puzzle 0-150|X:-864.96-Y:-98.06-Z:211.37
Puzzle 0-164|X:-49.87-Y:1607.33-Z:270.83
Puzzle 0-168 (Break)|X:-17.06-Y:1563.36-Z:261.25
Puzzle 0-182|X:1276.25-Y:533.8-Z:307.61
Puzzle 0-184-1|X:0-Y:0-Z:0
Puzzle 0-184-2|X:1505.01-Y:888.55-Z:324.84
Puzzle 0-191|X:1894.18-Y:699.16-Z:410.58
Puzzle 0-197|X:812.8-Y:-372.08-Z:226.16
Puzzle 0-218|X:871.49-Y:-431.05-Z:206.74
Puzzle 024-1|X:1518.24-Y:1028.68-Z:270.01
Puzzle 024-2|X:1522.35-Y:993.44-Z:270.92
Puzzle 048-1|X:1354.12-Y:479.18-Z:346.21
Puzzle 048-2|X:1315.06-Y:495.58-Z:351.29
Puzzle 048-3|X:1333.45-Y:524.9-Z:351.34
Puzzle 048-4|X:1338.5-Y:496.01-Z:348.72
Puzzle 085-1|X:692.47-Y:21.69-Z:236.76
Puzzle 085-2|X:678.01-Y:-25.14-Z:242.18
Puzzle 086-1|X:718.73-Y:-100.54-Z:270.56
Puzzle 086-2|X:715.73-Y:-103.9-Z:262.93
Puzzle 090-1|X:-10.83-Y:220.88-Z:202.16
Puzzle 095-1|X:941.84-Y:909.84-Z:228.43
Puzzle 095-2|X:932.66-Y:991.89-Z:240.57
Puzzle 095-3|X:859.05-Y:885.31-Z:240.1
Puzzle 095-4|X:938.82-Y:754.17-Z:270.91
Puzzle 096-1|X:938.84-Y:754.22-Z:270.92
Puzzle 096-2|X:963.46-Y:780.84-Z:255.23
Puzzle 096-3|X:957.03-Y:812.54-Z:254.98
Puzzle 109-1|X:1279.34-Y:1457.47-Z:244.35
RandomPreciousChest|X:824.3-Y:-209.67-Z:188.05
